Title Incident Report,Segment,Location,Date,Department / Area,Process,Operation Mode,Machine Category,Machine Type,Riskfactor,Repeat Incident,Maximum Possible Damage/Harm Occurred,Employee_Type,Gender,Type of Injury,Injured Body Part,Lost Days,Accident type
Lumbar trauma,SY,ElJem,2019-02-04,assembly,I - 3013 - cutting - manual,Malfunction,Other,,"1.5 Falling, slipping, stumbling, tripping",YES,YES,DRX,Female,Sprain / Strain,Body,7,Work related accident
lumbago,SY,ElJem,2019-03-04,Logistics,I - 7009 - commissioning,Normal mode,Other,,9.3 Forced posture,YES,YES,DRX,Male,Other,Body,15,Work related accident
foot injury,SY,ElJem,2019-04-16,IR,I - 4008 - assembly,Normal mode,Conveyor System / Robot,AGV SYSTEM,1.2 Parts with dangerous surfaces,NO,YES,DRX,Female,Sprain / Strain,Foot,15,Work related accident
hand injury,SY,ElJem,2019-07-05,MM,"E - 7015 extracting,_laying-up_and_handle - wire_/_module_/wire_harness",Normal mode,Other,,1.3 Transport and mobile work equipment,NO,NO,DRX,Male,Sprain / Strain,Hand,16,Work related accident
finger injury,SY,ElJem,2019-05-13,IR,"E - 7015 extracting,_laying-up_and_handle - wire_/_module_/wire_harness",Normal mode,Other,,10.1 Work contents/job assignments,YES,YES,DRX,Male,Sprain / Strain,Hand,18,Work related accident
head trauma,SY,ElJem,2019-07-06,IR,E - 8001 commissioning,Normal mode,Other,-,1.2 Parts with dangerous surfaces,NO,YES,DRX,Male,Other,Head,7,Work related accident
right hypochondrial pain,SY,ElJem,2019-10-06,Logistics,I - 3003 - turning,Normal mode,Other,,1.3 Transport and mobile work equipment,NO,NO,DRX,Male,Bruise,Arm,2,Work related accident
foot injury,SY,ElJem,2019-06-21,MR,I - 3003 - turning,Normal mode,Other,,"1.5 Falling, slipping, stumbling, tripping",YES,YES,DRX,Female,Sprain / Strain,Foot,15,Work related accident
knee injury,SY,ElJem,2019-06-22,MR,I - 4008 - assembly,Normal mode,Other,,"1.5 Falling, slipping, stumbling, tripping",NO,NO,DRX,Female,Other,Foot,10,Work related accident
back injury,SY,ElJem,2019-05-07,Nacherbeit,I - 4023 - foldback,Normal mode,Other,,10.2 Work organization,YES,YES,DRX,Female,Other,Body,4,Work related accident
severe neck pain,SY,ElJem,2019-05-07,Logistics,I - 4023 - foldback,Normal mode,Other,,10.2 Work organization,YES,NO,DRX,Male,Other,Body,5,Work related accident
back injury,SY,ElJem,2019-06-07,,Other,Maintenance,Other,,-,YES,YES,DRX,Male,Strain,Body,7,Work related accident
foot injury,SY,ElJem,2019-07-08,,E - 7001 walking time_/_assembly line,Normal mode,Other,,10.4 Work environment,YES,NO,DRX,Female,Sprain / Strain,Foot,15,Work related accident
knee injury,SY,ElJem,2019-03-07,MM,I - 4008 - assembly,Normal mode,Other,,1.2 Parts with dangerous surfaces,YES,NO,DRX,Female,Sprain / Strain,Foot,7,Work related accident
knee injury,SY,ElJem,2019-03-07,MM,I - 4008 - assembly,Normal mode,Other,,1.2 Parts with dangerous surfaces,YES,NO,DRX,Female,Sprain / Strain,Foot,8,Work related accident
foot injury,SY,ElJem,2019-08-22,MM,I - 4008 - assembly,Normal mode,Other,,1.2 Parts with dangerous surfaces,NO,YES,DRX,Female,Other,Foot,10,Work related accident
hand injury,SY,ElJem,2019-08-20,Administration,I - 4008 - assembly,Normal mode,Other,,10.4 Work environment,NO,NO,DRX,Female,Other,Hand,10,Work related accident
finger injury,SY,ElJem,2019-03-09,IR,I - 4008 - assembly,Normal mode,Machine Tool,tesa cutter,1.2 Parts with dangerous surfaces,YES,YES,DRX,Female,Cut,Hand,10,Work related accident
back injury,SY,ElJem,2019-09-19,IR,I - 4008 - assembly,Normal mode,Other,,1.4 Uncontrolled moving parts,YES,YES,DRX,Female,Other,Body,7,Work related accident
back injury,SY,ElJem,2019-09-19,Logistics,I - 7009 - commissioning,Normal mode,Other,,"9.1 Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Male,Other,Body,7,Work related accident
wrist injury,SY,ElJem,2019-11-10,MM,I - 4008 - assembly,Normal mode,Other,,1.6 Falls,NO,YES,DRX,Male,Other,Hand,4,Work related accident
deep wound with stitches,SY,ElJem,2019-09-25,IR,I - 4008 - assembly,Normal mode,Other,,1.2 Parts with dangerous surfaces,YES,YES,DRX,Female,Cut,Hand,10,Work related accident
thumb injury,SY,ElJem,2019-09-26,IR,I - 4014 - pressing_(joining) - ironing_pressing,Normal mode,Power / Work Machine,Ushall,1.2 Parts with dangerous surfaces,NO,YES,DRX,Female,Cut,Hand,1,Work related accident
shoulder injury,SY,ElJem,2019-09-30,IR,I - 4008 - assembly,Normal mode,Other,,1.2 Parts with dangerous surfaces,YES,YES,DRX,Female,Abrasion,Body,8,Work related accident
toe injury,SY,ElJem,2019-08-27,Production,I - 4008 - assembly,Normal mode,Other,,1.2 Parts with dangerous surfaces,NO,YES,DRX,Male,Fracture,Foot,45,Work related accident
hand injury,SY,ElJem,2019-10-25,MM,I - 4016 - screwing,Normal mode,Other,,1.2 Parts with dangerous surfaces,NO,YES,DRX,Male,Other,Hand,10,Work related accident
eye injury,SY,ElJem,2019-11-20,IR,I - 4008 - assembly,Normal mode,Other,,1.2 Parts with dangerous surfaces,YES,YES,DRX,Female,Other,Eye,3,Work related accident
hand injury,SY,ElJem,2019-11-18,MR,I - 4008 - assembly,Normal mode,Other,,1.2 Parts with dangerous surfaces,YES,YES,DRX,Male,Cut,Hand,4,Work related accident
shoulder injury,SY,ElJem,2019-11-15,Logistics,I - 7009 - commissioning,Normal mode,Other,,"9.1 Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Male,Other,Body,19,Work related accident
lumbago,SY,ElJem,2019-11-13,IR,I - 4008 - assembly,Normal mode,Other,,"9.1 Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Female,Other,Body,15,Work related accident
back injury,SY,ElJem,2019-12-12,Logistics,E - 8001 commissioning,Normal mode,Other,,"9.1 Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Male,Other,Body,21,Work related accident
lumbago,SY,ElJem,2019-12-18,MR,I - 4008 - assembly,Normal mode,Other,,"9.1 Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Male,Other,Body,16,Work related accident
hand injury,SY,ElJem,2019-02-28,MR,I - 4008 - assembly,Normal mode,Other,,"9.1 Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Female,Sprain / Strain,Hand,15,Work related accident
hand injury,SY,ElJem,2019-05-22,IR,I - 4008 - assembly,Normal mode,Other,,"9.1 Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Male,Bruise,Hand,12,Work related accident
foot injury,SY,ElJem,2019-01-05,IR,I - 4008 - assembly,Normal mode,Conveyor System / Robot,AGV SYSTEM,1.2 Parts with dangerous surfaces,NO,YES,DRX,Female,Sprain / Strain,Foot,15,Work related accident
hand injury,IS,Rosslyn,2019-09-08,Maintanance,Other,Normal mode,Other,,4.1 Infections,NO,NO,DRX,Male,Laceration,Hand,3,Work related accident
foot injury,IS,Rosslyn,2019-10-21,Logistics,I - 8004 - internal_transport,Normal mode,Power / Work Machine,Reach Truck,1.3 Transport and mobile work equipment,NO,NO,DRX,Female,Sprain / Strain,Foot,8,Work related accident
hand injury,IS,Rosslyn,2019-09-01,Maintanance,I - 5007 - painting - painting - silver_coating_badge,Maintenance,Other,,9.2 Manual work requiring a low level of physical strength,NO,YES,DRX,Male,Fracture,Hand,16,Work related accident
thumb injury,IS,Rosslyn,2019-01-08,Logistics,Other,Normal mode,Other,,4.1 Infections,NO,NO,DRX,Male,Cut,Hand,3,Work related accident
Leg injury,ES,Siliana,2019-05-22,ZSB,Other,Normal mode,Other,no machine,10.4 Work environment,NO,YES,DRX,Female,Sprain / Strain,Foot,3,Work related accident
eye injury,ES,Siliana,2019-08-23,ZSB,-,Normal mode,Machine Tool,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Female,Other,Eye,10,Work related accident
hand injury,ES,Siliana,2019-04-19,ZSB,Other,Maintenance,Machine Tool,no machine,-,NO,YES,DRX,Female,Fracture,Arm,3,Work related accident
eye injury,ES,Siliana,2019-04-18,IR,Other,Normal mode,Other,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Other,Leg,2,Work related accident
eye injury,ES,Siliana,2019-04-30,ZSB,Other,Normal mode,Other,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Other,Eye,4,Work related accident
eye injury,ES,Siliana,2019-02-22,ZSB,Other,Normal mode,Other,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Other,Hand,7,Work related accident
eye injury,ES,Siliana,2019-02-26,SI,Other,Normal mode,Other,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Other,Body,3,Work related accident
eye injury,ES,Siliana,2019-02-20,Production,Other,Normal mode,Other,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Other,Leg,7,Work related accident
eye injury,ES,Siliana,2019-02-20,MM,Other,Normal mode,Other,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Other,Head,5,Work related accident
eye injury,ES,Siliana,2019-01-30,Logistics,Other,Normal mode,Other,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Other,Leg,3,Work related accident
eye injury,ES,Siliana,2019-01-30,Logistics,Other,Normal mode,Other,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Other,Hand,3,Work related accident
eye injury,ES,Siliana,2019-01-16,Logistics,Other,Normal mode,Other,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Other,Hand,3,Work related accident
eye injury,ES,Siliana,2019-01-29,ZSB,Other,Normal mode,Other,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Other,Leg,4,Work related accident
eye injury,ES,Siliana,2019-01-18,Production,Other,Normal mode,Other,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Other,Body,6,Work related accident
hand injury,ES,Siliana,2019-09-07,ZSB,-,Normal mode,Machine Tool,no machine,"1.5 Falling, slipping, stumbling, tripping",NO,YES,DRX,Female,Fracture,Hand,4,Work related accident
shoulder injury,ES,Siliana,2019-10-06,SI,I - 4007 - gluing - assembly_bonding,Maintenance,Other,no machine,"1.5 Falling, slipping, stumbling, tripping",NO,YES,DRX,Male,Fracture,Hand,7,Work related accident
wrist injury,ES,Siliana,2019-05-21,Logistics,Other,Normal mode,Other,no machine,1.3 Transport and mobile work equipment,NO,NO,DRX,Male,Fracture,Body,3,Work related accident
Leg injury,ES,Siliana,2019-05-22,Logistics,Other,Normal mode,Other,no machine,10.4 Work environment,NO,NO,DRX,Female,Sprain / Strain,Foot,2,Work related accident
foot injury,ES,Siliana,2019-05-21,KS,Other,Normal mode,Other,no machine,9.5 Working with increased exertion and/or  applied strength,NO,NO,DRX,Male,Fracture,Foot,5,Work related accident
lumbago,ES,Siliana,2019-03-05,Logistics,Other,Normal mode,Other,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",NO,NO,DRX,Male,Other,Body,7,Work related accident
eye injury,ES,Siliana,2019-07-03,IR,Other,Normal mode,Other,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Other,Foot,2,Work related accident
eye injury,ES,Siliana,2019-03-14,IR,Other,Normal mode,Other,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Other,Body,3,Work related accident
eye injury,ES,Siliana,2019-07-03,ZSB,Other,Normal mode,Other,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Other,Foot,4,Work related accident
eye injury,ES,Siliana,2019-07-03,MR,Other,Normal mode,Other,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Other,Hand,12,Work related accident
eye injury,ES,Siliana,2019-07-03,ZSB,Other,Normal mode,Other,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Other,Eye,7,Work related accident
eye injury,ES,Siliana,2019-07-03,ZSB,Other,Normal mode,Other,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Other,Body,5,Work related accident
eye injury,ES,Siliana,2019-07-03,ZSB,Other,Normal mode,Other,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Other,Body,7,Work related accident
Leg injury,ES,Siliana,2019-08-30,BX8,-,Normal mode,Other,No involved Machine,"1.5 Falling, slipping, stumbling, tripping",NO,YES,DRX,Female,Sprain / Strain,Foot,14,Work related accident
hand injury,ES,Siliana,2019-04-09,SI,-,Normal mode,Other,No involved machine,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Laceration,Hand,47,Work related accident
hand injury,ES,Siliana,2019-08-30,Logistics,-,Normal mode,Other,,"1.5 Falling, slipping, stumbling, tripping",NO,YES,DRX,Male,Fracture,Hand,42,Work related accident
finger injury,ES,Siliana,2019-09-27,Maintenance,I - 1001 - blow_molding,Normal mode,Metal Working Machine,No involved machine,10.2 Work organization,NO,YES,DRX,Male,Laceration,Hand,7,Work related accident
finger injury,ES,Siliana,2019-09-12,Maintenance,I - 1001 - blow_molding,Normal mode,Metal Working Machine,No involved machine,10.2 Work organization,NO,YES,DRX,Male,Laceration,Hand,5,Work related accident
finger injury,ES,Siliana,2019-09-12,ZSB,-,Normal mode,Other,No involved machine,"9.1 Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Female,Laceration,Hand,23,Work related accident
eye injury,ES,Siliana,2019-09-23,ZSB,-,Normal mode,Other,No involved machine,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Female,Abrasion,Eye,14,Work related accident
hand injury,ES,Siliana,2019-10-03,FBB,I - 1001 - blow_molding,Normal mode,Other,No involved machine,10.2 Work organization,NO,YES,DRX,Male,Laceration,Hand,10,Work related accident
eye injury,ES,Siliana,2019-09-27,ZSB,-,Normal mode,Other,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Female,Other,Eye,5,Work related accident
hand injury,ES,Siliana,2019-10-01,ZSB,-,Normal mode,Other,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Female,Fracture,Hand,23,Work related accident
hand injury,ES,Siliana,2019-10-07,ZSB,-,Normal mode,Other,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Female,Fracture,Foot,7,Work related accident
toe injury,ES,Siliana,2019-10-07,FBB,I - 1001 - blow_molding,Normal mode,Other,No involved machine,10.2 Work organization,NO,YES,DRX,Male,Laceration,Foot,35,Work related accident
Leg injury,ES,Siliana,2019-10-14,Logistics,I - 1001 - blow_molding,Normal mode,Other,No involved machine,10.2 Work organization,NO,YES,DRX,Female,Laceration,Foot,10,Work related accident
hand injury,ES,Siliana,2019-10-29,KS,I - 1001 - blow_molding,Normal mode,Packaging Machine,No involved machine,10.2 Work organization,NO,YES,DRX,Male,Laceration,Hand,15,Work related accident
finger injury,ES,Siliana,2019-10-28,Maintenance,I - 1001 - blow_molding,Normal mode,Other,No involved machine,10.2 Work organization,NO,YES,DRX,Male,Laceration,Hand,15,Work related accident
Laceration,ES,Siliana,2019-11-26,Logistics,E - 2001 welding - ultrasonic - wire-cord,Normal mode,Other,No involved machine,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Laceration,Hand,7,Work related accident
toe injury,ES,Siliana,2019-10-04,FBB,I - 1001 - blow_molding,Normal mode,Other,No involved machine,10.2 Work organization,NO,YES,DRX,Male,Laceration,Foot,15,Work related accident
back injury,ES,Siliana,2019-12-10,Logistics,I - 1001 - blow_molding,Normal mode,Other,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Other,Body,7,Work related accident
eye injury,ES,Siliana,2019-12-06,KS,I - 1001 - blow_molding,Normal mode,Other,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",NO,NO,DRX,Male,Other,Eye,5,Work related accident
eye injury,ES,Siliana,2019-12-05,ZSB,I - 1001 - blow_molding,Normal mode,Machine Tool,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Female,Other,Eye,7,Work related accident
body injury,ES,Siliana,2019-12-13,ZSB,I - 1001 - blow_molding,Normal mode,Other,no machine,9.3 Forced posture,NO,YES,DRX,Female,Other,Body,7,Work related accident
eye injury,ES,Siliana,2019-12-16,ZSB,I - 1001 - blow_molding,Normal mode,Machine Tool,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",YES,NO,DRX,Female,Other,Eye,5,Work related accident
eye injury,ES,Siliana,2019-12-11,ZSB,-,Normal mode,Machine Tool,no machine,"9.1 Lifting, holding, carrying or pulling, pushing",YES,YES,DRX,Female,Other,Eye,7,Work related accident
hand injury,ES,Siliana,2019-11-09,Production,-,Normal mode,Other,No involved machine,-,NO,YES,DRX,Male,Other,Hand,5,Work related accident
hand injury,ES,SousseMETS,2019-03-28,Production,I - 7003 - measurement,Normal mode,Other,,1.1 Controlled moved unprotected parts,NO,YES,DRX,Male,Abrasion,Hand,10,Work related accident
finger injury,ES,SousseMETS,2019-03-01,KS,I - 4008 - assembly,Normal mode,Power / Work Machine,Machine CRMP CENTER 365,1.2 Parts with dangerous surfaces,YES,YES,DRX,male,Abrasion,Hand,10,Work related accident
back injury,ES,SousseMETS,2019-01-16,Logistics,-,Normal mode,Other,,1.2 Parts with dangerous surfaces,NO,YES,DRX,Male,Other,Body,15,Work related accident
hand injury,ES,SousseMETS,2019-01-29,KS,E - 8001 commissioning,Normal mode,Other,,1.4 Uncontrolled moving parts,NO,YES,DRX,Male,Bruise,Hand,4,Work related accident
hand injury,IS,SousseMETS,2019-08-01,KS,-,Normal mode,Other,,-,YES,NO,DRX,Male,Fracture,Hand,8,Work related accident
hand injury,ES,SousseMETS,2019-02-13,KS,-,Normal mode,Other,,1.2 Parts with dangerous surfaces,NO,YES,DRX,Male,Stab injury,Hand,12,Work related accident
thumb injury,ES,SousseMETS,2019-08-01,assembly,-,Normal mode,Other,,1.2 Parts with dangerous surfaces,NO,YES,DRX,Male,Stab injury,Hand,8,Work related accident
hand injury,ES,SousseMETS,2019-01-23,Maintenance,I - 7005 - testing,Maintenance,Process Machine,Press MFU,1.2 Parts with dangerous surfaces,NO,YES,DRX,Male,Bruise,Hand,30,Work related accident
hand injury,ES,SousseMETS,2019-02-25,Logistics,I - 8004 - internal_transport,Normal mode,Process Machine,forklift,1.3 Transport and mobile work equipment,NO,YES,DRX,Male,Bruise,Foot,15,Work related accident
Head wound,ES,SousseMETS,2019-09-01,KS,I - 3022 - cutting - machine,Normal mode,Other,,1.2 Parts with dangerous surfaces,NO,YES,DRX,Male,Stab injury,Head,8,Work related accident
Head wound,ES,SousseMETS,2019-01-25,KS,E - 7002 testing - function_electrical,Normal mode,Other,,1.2 Parts with dangerous surfaces,YES,YES,DRX,Male,Stab injury,Head,6,Work related accident
finger injury,ES,SousseMETS,2019-02-04,VK,I - 3020 - cutting - roll_goods,Normal mode,Process Machine,SERTISSAGE (::),1.1 Controlled moved unprotected parts,YES,YES,DRX,Female,Bruise,Hand,15,Work related accident
foot injury,ES,SousseMETS,2019-04-05,Zeta,-,Normal mode,Other,,10.4 Work environment,NO,YES,DRX,Female,Cut,Foot,20,Work related accident
neck injury,ES,SousseMETS,2019-04-26,SI,I - 1021 - injection_compression_molding,Normal mode,Other,,3.3 Skin contact with hazardous substances,NO,YES,DRX,Male,Burn/Scald,Body,20,Work related accident
hand injury,ES,SousseMETS,2019-01-17,BX8,I - 4008 - assembly,Normal mode,Other,,1.3 Transport and mobile work equipment,YES,YES,DRX,Female,Bruise,Hand,15,Work related accident
foot injury,ES,SousseMETS,2019-10-07,Logistics,I - 8001 - supply_for_transport_to_next_plant,Normal mode,Other,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Bruise,Foot,10,Work related accident
lombagie,SY,SousseMETS,2019-09-30,Logistics,-,Normal mode,Other,,-,YES,NO,DRX,Male,Abrasion,Other,5,Work related accident
hand injury,ES,SousseMETS,2019-03-27,Production,I - 7003 - measurement,Normal mode,Other,,1.1 Controlled moved unprotected parts,NO,YES,DRX,Male,Abrasion,Hand,10,Work related accident
hand injury,ES,SousseMETS,2019-03-26,VK,I - 7011 - cleaning,Normal mode,Other,,10.2 Work organization,NO,YES,DRX,Female,Abrasion,Hand,15,Work related accident
hand injury,ES,SousseMETS,2019-03-13,Zeta,I - 4008 - assembly,Normal mode,Power / Work Machine,Hanke,1.2 Parts with dangerous surfaces,NO,YES,DRX,Female,Stab injury,Hand,8,Work related accident
hand injury,ES,SousseMETS,2019-06-03,WC,-,Normal mode,Other,,-,NO,YES,DRX,Female,Bruise,Hand,10,Work related accident
finger injury,ES,SousseMETS,2019-05-03,KS,I - 4015 - pressing_(joining) - roll_pressing,Testing mode,Other,SCHÄFER,1.2 Parts with dangerous surfaces,YES,YES,DRX,Male,Fracture,Hand,35,Work related accident
hand injury,ES,SousseMETS,2019-01-03,VK,I - 3013 - cutting - manual,Normal mode,Other,Coupe tesa,1.1 Controlled moved unprotected parts,NO,YES,DRX,Female,Stab injury,Hand,10,Work related accident
hand injury,ES,SousseMETS,2019-06-29,KS,-,Normal mode,Other,,-,NO,YES,DRX,Male,Bruise,Hand,15,Work related accident
hand injury,ES,SousseMETS,2019-06-28,Zeta,E - 4001 crimping - contact_part,Normal mode,Process Machine,Hanke 971,1.1 Controlled moved unprotected parts,YES,NO,DRX,Male,Stab injury,Hand,12,Work related accident
hand injury,SY,SousseMETS,2019-06-19,KS,-,Normal mode,Other,,-,NO,YES,DRX,Male,Bruise,Hand,15,Work related accident
foot injury,SY,SousseMETS,2019-10-06,Quality,-,Normal mode,Other,,-,NO,YES,DRX,Male,Fracture,Foot,21,Work related accident
back injury,SY,SousseMETS,2019-10-21,Logistics,I - 8002 - preparation_raw_materials_/_components,Normal mode,Other,,"9.1 Lifting, holding, carrying or pulling, pushing",YES,NO,DRX,Male,Abrasion,Body,6,Work related accident
neck injury,SY,SousseMETS,2019-10-21,VK,I - 7009 - commissioning,Normal mode,Other,,9.2 Manual work requiring a low level of physical strength,NO,NO,DRX,Female,Abrasion,Other,15,Work related accident
back injury,SY,SousseMETS,2019-12-12,BX8,E - 4003 assembly - comb_conectro_/fuse_beam,Normal mode,Tools / Utilities,plan de travail,1.1 Controlled moved unprotected parts,NO,NO,DRX,Female,Bruise,Body,12,Work related accident
hand injury,SY,SousseMETS,2019-11-26,BX8,I - 7011 - cleaning,Normal mode,Other,,10.2 Work organization,NO,NO,DRX,Female,Fracture,Hand,1,Work related accident
eye injury,ES,SousseMETS,2019-09-20,Zeta,-,Normal mode,Other,,-,NO,YES,DRX,Female,Bruise,Eye,6,Work related accident
hand injury,SY,SousseMETS,2019-09-20,Maintenance,-,Normal mode,Other,,8.4 Inadequate escape routes,NO,NO,DRX,Male,Fracture,Hand,30,Work related accident
finger injury,SY,SousseMETS,2019-09-18,VK,E - 4015 crimping - doublestrike - wire-contact_part,Maintenance,Process Machine,HANKE,1.2 Parts with dangerous surfaces,YES,NO,DRX,Male,Cut,Hand,45,Work related accident
foot injury,ES,SousseMETS,2019-12-03,Administration,-,Normal mode,Other,,-,NO,YES,DRX,Female,Bruise,Foot,15,Work related accident
foot injury,IS,SousseMETS,2019-04-02,BX8,Other,Normal mode,Other,,-,NO,YES,DRX,Female,Bruise,Foot,21,Work related accident
hand injury,ES,SousseMETS,2019-08-04,Production,Other,Normal mode,Other,,1.6 Falls,YES,YES,DRX,Male,Bruise,Hand,30,Work related accident
finger injury,SY,SousseMETS,2019-11-06,BX8,E - 4016 assembly - corrugated_pipe_/_sleeving,Normal mode,Other,,9.5 Working with increased exertion and/or  applied strength,NO,YES,DRX,Female,Fracture,Hand,25,Work related accident
foot injury,ES,SousseMETS,2019-11-04,Administration,-,Normal mode,Other,,-,NO,YES,DRX,Female,Bruise,Foot,10,Work related accident
knee injury,SY,SousseMETS,2019-02-08,KS,I - 8004 - internal_transport,Normal mode,Tools / Utilities,chariot,1.3 Transport and mobile work equipment,YES,NO,DRX,Male,Bruise,Foot,7,Work related accident
finger injury,ES,SousseMETS,2019-03-08,KS,E - 4001 crimping - contact_part,Normal mode,Metal Working Machine,schaeffer,-,YES,NO,DRX,Male,Laceration,Hand,12,Work related accident
body injury,ES,SousseMETS,2019-02-08,Logistics,I - 8002 - preparation_raw_materials_/_components,Normal mode,Other,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Sprain / Strain,Body,7,Work related accident
back injury,ES,SousseMETS,2019-10-17,KS,I - 8002 - preparation_raw_materials_/_components,Normal mode,Other,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Sprain / Strain,Arm,4,Work related accident
back injury,ES,SousseMETS,2019-10-17,KS,I - 8002 - preparation_raw_materials_/_components,Normal mode,Other,,"9.1 Lifting, holding, carrying or pulling, pushing",NO,YES,DRX,Male,Sprain / Strain,Body,3,Work related accident
